  ;Label;O.fruity;O.passion;O.citrus;O.Intensity.before.shaking;O.Intensity.after.shaking;Expression;O.candied.fruit;O.vanilla;O.wooded;O.mushroom;O.plante;O.flower;O.alcohol;Typicity;Grade;Surface.feeling;Freshness;Oxidation;Smoothness;Attack.intensity;Sweetness;Acidity;Bitterness;Astringency;Aroma.intensity;Aroma.persistency;Visual.intensity;Odor.preference;Overall.preference
S Michaud;Sauvignon;4.25;2.428.571.429;5.714.285.714;7.75;8;7.142.857.143;0.666666667;0.5;0.333333333;0.333333333;6.5;6.571.428.571;1.666.666.667;2.333.333.333;3.857.142.857;2.5;6.625;0.428571429;5.285.714.286;6;3.5;5.875;4.125;1.428.571.429;7.142.857.143;6.714.285.714;5;6;5
S Renaudie;Sauvignon;4.428.571.429;3.142.857.143;5.25;7.125;7.625;7;0.666666667;0.5;0.333333333;0.333333333;6.125;6.428.571.429;3.4;1.125;3.285.714.286;2.6;6.625;0.285714286;5.142.857.143;6.428.571.429;3.285.714.286;6.75;3.75;2.333.333.333;7.166.666.667;6.571.428.571;3.375;5.4;5.5
S Trotignon;Sauvignon;5.142.857.143;4;5.25;7.125;7.375;7.142.857.143;1;0.5;0.333333333;0.5;4.625;5.142.857.143;2.833.333.333;0.625;2.428.571.429;2.8;6.875;0.428571429;5.285.714.286;6.571.428.571;3;6.125;4.125;2.375;6.142.857.143;6.142.857.143;3;5;5.5
S Buisse Domaine;Sauvignon;4.25;2.428.571.429;3.571.428.571;5.5;6.25;5.428.571.429;1.5;0.666666667;0.5;0.333333333;4.571.428.571;5.75;2.6;2.571.428.571;4.285.714.286;3.5;6.25;0.428571429;4.571.428.571;5.142.857.143;3.875;5.625;2.5;3;4.857.142.857;5.142.857.143;4.125;5.285.714.286;4.625
S Buisse Cristal;Sauvignon;5.625;3.142.857.143;3.5;6;6.5;6.166.666.667;3;1.142.857.143;0.857142857;0.285714286;4.285.714.286;4;3.142.857.143;4.142.857.143;3.857.142.857;3.8;6.428.571.429;1;5.571.428.571;5.571.428.571;3.375;6.625;5;3.125;6.142.857.143;5.142.857.143;3.625;6.142.857.143;5
V Aub Silex;Vouvray;3.857.142.857;0.666666667;3.285.714.286;3.857.142.857;4.25;4.428.571.429;2.857.142.857;0.833333333;1;1.666.666.667;4.375;3.714.285.714;2.428.571.429;6;4;3.5;4.714.285.714;1.857.142.857;5.571.428.571;5.142.857.143;7.875;4.375;3;2.375;5.857.142.857;5.571.428.571;4;5;5.5
V Aub Marigny;Vouvray;2.142.857.143;0.666666667;1;7.75;8;6;3.333.333.333;5.666.666.667;7.75;1.666.666.667;2.833.333.333;2.833.333.333;3.4;3.875;6.714.285.714;3.833.333.333;4.857.142.857;1.5;4.142.857.143;6.428.571.429;3.5;6.375;5;4;6.333.333.333;6.666.666.667;6;5.142.857.143;4.125
V Font Domaine;Vouvray;5.142.857.143;0.5;2.5;6.25;6.75;6;4.5;1.833.333.333;1;1.833.333.333;4.166.666.667;3.285.714.286;3.333.333.333;6.833.333.333;6.571.428.571;4.75;5.333.333.333;2.833.333.333;4.166.666.667;5.428.571.429;3;5.714.285.714;4;2.5;6.666.666.667;6.333.333.333;6.375;4.4;5.125
V Font Brules;Vouvray;5.142.857.143;0.833333333;3.833.333.333;6.75;7.5;6.714.285.714;4.714.285.714;1.833.333.333;2;3;2.833.333.333;3.857.142.857;3.857.142.857;5.875;7.428.571.429;4.2;4.285.714.286;4;4.142.857.143;5.571.428.571;3.875;5.375;4;3.125;7;6.142.857.143;7.375;4.4;6.428.571.429
V Font Coteaux;Vouvray;4.142.857.143;0.857142857;2.714.285.714;7.125;7.25;6.714.285.714;3.571.428.571;6.285.714.286;7.25;1.285.714.286;1.857.142.857;3.285.714.286;4.285.714.286;5.75;6.833.333.333;4.75;5.333.333.333;1.166.666.667;6;6.142.857.143;3.75;5.125;4.25;4.25;7.285.714.286;6.571.428.571;6.25;6;5.714.285.714
