mpg	sp	wt	vol	hp
65.4	96	17.5	89	49
56.0	97	20.0	92	55
55.9	97	20.0	92	55
49.0	105	20.0	92	70
46.5	96	20.0	92	53
46.2	105	20.0	89	70
45.4	97	20.0	92	55
59.2	98	22.5	50	62
53.3	98	22.5	50	62
43.4	107	22.5	94	80
41.1	103	22.5	89	73
40.9	113	22.5	50	92
40.9	113	22.5	99	92
40.4	103	22.5	89	73
39.6	100	22.5	89	66
39.3	103	22.5	89	73
38.9	106	22.5	91	78
38.8	113	22.5	50	92
38.2	106	22.5	91	78
42.2	109	25.0	103	90
40.9	110	25.0	99	92
40.7	101	25.0	107	74
40.0	111	25.0	101	95
39.3	105	25.0	96	81
38.8	111	25.0	89	95
38.4	110	25.0	50	92
38.4	110	25.0	117	92
38.4	110	25.0	99	92
29.5	109	25.0	102	90
46.9	90	27.5	104	52
36.3	112	27.5	107	103
36.1	103	27.5	114	84
36.1	103	27.5	101	84
35.4	111	27.5	97	102
35.3	111	27.5	113	102
35.1	102	27.5	101	81
35.1	106	27.5	98	90
35.0	106	27.5	88	90
33.2	109	30.0	86	102
32.9	109	30.0	86	102
32.3	120	30.0	92	130
32.2	106	30.0	113	95
32.2	106	30.0	106	95
32.2	109	30.0	92	102
32.2	106	30.0	88	95
31.5	105	30.0	102	93
31.5	108	30.0	99	100
31.4	108	30.0	111	100
31.4	107	30.0	103	98
31.2	120	30.0	86	130
33.7	109	35.0	101	115
32.6	109	35.0	101	115
31.3	109	35.0	101	115
31.3	109	35.0	124	115
30.4	133	35.0	113	180
28.9	125	35.0	113	160
28.0	115	35.0	124	130
28.0	102	35.0	92	96
28.0	109	35.0	101	115
28.0	104	35.0	94	100
28.0	105	35.0	115	100
27.7	120	35.0	111	145
25.6	107	40.0	116	120
25.3	114	40.0	131	140
23.9	114	40.0	123	140
23.6	117	40.0	121	150
23.6	122	40.0	50	165
23.6	122	40.0	114	165
23.6	122	40.0	127	165
23.6	122	40.0	123	165
23.5	148	40.0	112	245
23.4	160	40.0	50	280
23.4	121	40.0	135	162
23.1	121	40.0	132	162
22.9	110	45.0	160	140
22.9	110	45.0	129	140
19.5	121	45.0	129	175
18.1	165	45.0	50	322
17.2	140	45.0	115	238
17.0	147	45.0	50	263
16.7	157	45.0	119	295
13.2	130	55.0	107	236
